2008, INVENTORY, 10000
2007, INVENTORY, 10000
2006, INVENTORY, 9000
2005, INVENTORY, 12000
2004, INVENTORY, 14000
2003, INVENTORY, 6000
2002, INVENTORY, 9000
2001, INVENTORY, 9000
2000, INVENTORY, 10000
1999, INVENTORY, 9000
1998, INVENTORY, 10000
1997, INVENTORY, 14000
1996, INVENTORY, 14000
1995, INVENTORY, 10000
1994, INVENTORY, 14000
1993, INVENTORY, 14000
1992, INVENTORY, 15000
1991, INVENTORY, 15000
1990, INVENTORY, 17000
1989, INVENTORY, 15000
1988, INVENTORY, 9000
1987, INVENTORY, 11000
