2017, INVENTORY, 57000
2016, INVENTORY, 64000
2015, INVENTORY, 58000
2014, INVENTORY, 60000
2013, INVENTORY, 55000
2012, INVENTORY, 51000
2011, INVENTORY, 49000
2010, INVENTORY, 45000
2009, INVENTORY, 45000
2008, INVENTORY, 50000
2007, INVENTORY, 53000
2006, INVENTORY, 58000
2005, INVENTORY, 59000
2004, INVENTORY, 64000
2003, INVENTORY, 67000
2002, INVENTORY, 60000
2001, INVENTORY, 53000
2000, INVENTORY, 58000
1999, INVENTORY, 69000
1998, INVENTORY, 65000
1997, INVENTORY, 72000
1996, INVENTORY, 68000
1995, INVENTORY, 70000
1994, INVENTORY, 68000
1993, INVENTORY, 65000
1992, INVENTORY, 70000
1991, INVENTORY, 77000
1990, INVENTORY, 81000
1989, INVENTORY, 94000
1988, INVENTORY, 94000
1987, INVENTORY, 90000
